latitude,longitude,ndvi,land_surface_temperature
28.632510162891776,77.18821715741068,0.29082817337405026,40.42766300000005
28.632500252274596,77.18883056607358,0.27466193748553613,39.68595266
28.632490338884097,77.18944397442684,0.3887036475691852,39.29971640000002
28.632480422720267,77.19005738247036,0.16457519028972523,40.15080338000001
28.632470503783132,77.19067079020407,0.36707672081816684,40.23967190000002
28.632460582072678,77.19128419762787,0.31067344345550474,40.014082580000036
28.63245065758892,77.19189760474168,0.3154043899538948,40.229417839999996
28.63244073033186,77.19251101154542,0.3252830188672231,40.345630519999986
28.632430800301506,77.19312441803899,0.30417024935446224,40.08927902000005
28.632420867497864,77.19373782422232,0.35235830360611897,40.195237640000016
28.632410931920926,77.19435123009531,0.39327204768078944,40.84124342000001
28.63240099357072,77.19496463565788,0.2826436890440628,40.885677680000015
28.63239105244723,77.19557804090992,0.29450499545800524,40.294360220000044
28.63238110855048,77.19619144585138,0.3939393939386086,39.723550880000005
28.632371161880457,77.19680485048217,0.49917884000259455,39.14932352000005
28.63236121243718,77.19741825480217,0.4353683492489165,38.57167814000002
28.63235126022064,77.19803165881135,0.1913853098839624,38.69130884000003
28.63234130523086,77.19864506250954,0.2866844715752969,39.43985522000003
28.632331347467833,77.19925846589673,0.1412983316199236,40.198655659999986
28.632321386931565,77.19987186897279,0.21267049533343024,40.94378402000001
28.632311423622056,77.20048527173768,0.11286407766970724,40.56780182
28.632301457539327,77.20109867419126,0.4097076768957113,40.06193486000001
28.632291488683375,77.20171207633346,0.2542832252439178,40.83782540000004
28.632281517054206,77.20232547816421,0.30561004315369855,41.40521672
28.632271542651825,77.2029388796834,0.2013422818788294,41.36761850000005
28.632261565476234,77.20355228089097,0.4189430207445434,40.83782540000004
28.632251585527435,77.20416568178682,0.15209283050119835,40.2738521
28.632241602805447,77.20477908237086,0.18105091206065696,40.246507940000015
28.632231617310264,77.205392482643,0.1891637663433559,40.57805588000002
28.63222162904189,77.20600588260316,0.0865588763676522,41.19329948000001
28.63221163800033,77.20661928225127,0.25327087707922263,41.34369235999998
28.632201644185606,77.20723268158721,0.028250454320125143,41.19329948000001
28.632191647597708,77.20784608061092,0.23476278172369594,41.12152106000002
28.632181648236635,77.2084594793223,0.3174571542440864,40.80022717999998
28.632171646102407,77.20907287772127,0.23057999810723706,40.198655659999986
28.63216164119502,77.20968627580774,0.17474048442868784,40.20549170000004
28.63215163351449,77.21029967358163,0.29917355371848775,40.77630104000002
28.632141623060804,77.21091307104284,0.27964668295380635,40.53703963999999
28.632131609833984,77.2115264681913,0.33139207213914823,40.12004120000006
28.632121593834025,77.21213986502691,0.43942543942460893,40.916439860000025
28.63211157506094,77.21275326154958,0.18278699581791072,42.17085320000001
28.63210155351473,77.21336665775925,0.10318573432157246,42.751916600000015
28.6320915291954,77.2139800536558,0.12057209379657315,42.85103918000004
28.63208150210295,77.21459344923916,0.11117231249405826,42.35200826000005
28.632071472237396,77.21520684450925,0.14493822607386145,42.75875264000001
28.632061439598736,77.21582023946597,0.17132678397890247,43.469700800000055
28.632051404186985,77.21643363410926,0.15062981105641948,43.70554418000006
28.63204136600213,77.21704702843898,0.09166805810637557,43.654273880000005
28.63203132504419,77.21766042245511,0.14505703422025654,43.35007010000004
28.632021281313172,77.21827381615752,0.2190149566538649,43.22018534000006
28.632011234809067,77.21888720954612,0.277341857986482,43.213349300000004
28.6320011855319,77.21950060262085,0.30513551026326957,42.89205542000002
28.631991133481662,77.22011399538161,0.5265185670948004,42.75875264000001
28.631981078658356,77.2207273878283,0.30447789099690664,43.78415863999999
28.631971021062,77.22134077996085,0.12054329371795096,44.37889412000004
28.631960960692588,77.22195417177919,0.11828764551235771,44.307115700000054
28.63195089755014,77.2225675632832,0.12250868531701864,43.81150280000003
28.631940831634633,77.22318095447281,0.11291926588895594,43.20309524000004
28.631930762946105,77.22379434534794,0.17308186883810875,42.61861382000001
28.631920691484538,77.22440773590849,0.022143774069284108,42.12641894000001
28.63191061724995,77.22502112615437,0.22517331412582126,41.753854760000024
28.631900540242338,77.22563451608552,-0.018274678796555303,41.10101294000003
28.631890460461715,77.22624790570183,0.0801916644063282,40.89593174000004
28.63188037790807,77.22686129500322,0.13938219782555294,41.24798780000003
28.631870292581436,77.22747468398958,0.18768452129871332,41.88715754000003
28.631860204481796,77.22808807266087,0.3503162333092932,42.49898312000005
28.63185011360916,77.22870146101697,0.14281288723645785,42.881801360000054
28.631840019963537,77.22931484905781,0.19488641589221947,43.18600514000002
28.631829923544935,77.2299282367833,0.10219271776281998,43.38083228000005
28.631819824353347,77.23054162419334,0.35898360064811863,43.603003580000006
28.631968971740687,77.18820592602624,0.32140137090570947,40.48235132000002
28.63195906134502,77.18881933154685,0.2570165745850674,39.66202652000004
28.6319491481761,77.18943273675782,0.4083408340825916,39.66886255999998
28.631939232233915,77.19004614165907,0.1925090616186216,40.704522620000034
28.63192931351847,77.1906595462505,0.20316831683128087,40.625908159999994
28.631919392029786,77.19127295053204,0.37790573683007483,40.33879448000005
28.631909467767855,77.1918863545036,0.2591287322559782,40.61223608
28.63189954073268,77.19249975816507,0.29744545554150326,40.70794064000006
28.631889610924276,77.19311316151641,0.2674262734578476,40.56780182
28.63187967834264,77.19372656455748,0.37156148867238764,40.67034242
28.631869742987778,77.19433996728824,0.37181261118724684,40.98480026000004
28.631859804859698,77.19495336970859,0.13003551936215882,41.179627400000015
28.63184986395841,77.19556677181842,0.3387142721482505,40.673760440000024
28.63183992028391,77.19618017361766,0.34933000934798103,40.1713115
28.631829973836215,77.19679357510624,0.2869697298463991,39.55264987999999
28.631820024615312,77.19740697628404,0.37263537183390527,38.94766034000003
28.63181007262122,77.19802037715101,0.407849484118131,38.66054666000002
28.63180011785394,77.19863377770704,0.2824032804416431,39.084381140000005
28.63179016031348,77.19924717795206,0.26066454655058524,39.62784632
28.63178019999984,77.19986057788594,0.25572555354888205,40.40031884000001
28.631770236913034,77.20047397750865,0.2819779665288336,40.57463786000005
28.63176027105306,77.20108737682007,0.30652351924245924,40.37981072000002
28.631750302419917,77.20170077582013,0.29962073324854677,40.769465000000025
28.631740331013628,77.20231417450874,0.23931706375954603,41.442814940000005
28.63173035683418,77.2029275728858,0.25292999683203526,41.70942050000002
28.63172037988159,77.20354097095124,0.08088426527944363,41.292422060000035
28.631710400155857,77.20415436870496,0.3531480830102829,40.53362162000002
28.63170041765699,77.20476776614687,0.23931762794437153,40.38322874000005
28.631690432384996,77.20538116327691,0.32942511346382486,40.78655509999999
28.63168044433987,77.20599456009498,0.20524099204453863,41.42572484000004
28.631670453521636,77.20660795660098,0.08747011672045076,41.17279136000002
28.631660459930266,77.20722135279483,0.22003671649581252,40.83782540000004
28.631650463565805,77.20783474867646,0.2927435387669106,40.66350638000006
28.631640464428237,77.20844814424576,0.3074301295154203,40.472097260000055
28.631630462517563,77.20906153950267,0.16841317365237948,39.935468119999996
28.631620457833794,77.20967493444707,0.3634622749897291,39.85001762000002
28.631610450376943,77.2102883290789,0.4407459044955721,40.557547760000034
28.631600440147007,77.21090172339807,0.3303587363906294,40.15763942000001
28.631590427143994,77.21151511740447,0.10395125553895135,39.819255440000006
28.631580411367906,77.21212851109804,0.2120181405891685,40.595145979999984
28.631570392818748,77.2127419044787,0.2739622641504265,41.20013552
28.631560371496526,77.21335529754634,0.17192927060282298,41.22064364000005
28.63155034740125,77.21396869030087,0.16937315944439316,41.41888879999999
28.63154032053292,77.21458208274224,0.3837176993602228,41.77778090000004
28.631530290891547,77.21519547487033,0.2971730245226547,42.53658134
28.631520258477128,77.21580886668505,0.30524308865528077,43.34665208000001
28.63151022328967,77.21642225818634,0.057246627464446136,43.818338840000024
28.631500185329184,77.2170356493741,0.09242529534382832,43.910625380000056
28.63149014459567,77.21764904024823,0.14282962534885327,43.61325764000003
28.63148010108914,77.21826243080866,0.17317872447664368,43.95505964000006
28.63147005480959,77.21887582105532,0.30682696436186035,44.36180402000002
28.631460005757027,77.2194892109881,0.1347319347316835,44.26268144000005
28.63144995393146,77.22010260060691,0.2255277368675002,43.81492082
28.631439899332893,77.22071598991167,0.17521584560655112,44.293443620000005
28.63142984196133,77.22132937890228,0.10624589086113577,44.211411139999996
