latitude,longitude,ndvi,ndwi,land_surface_temperature
28.623498587748177,77.19866523373788,0.34753384455107916,-0.3218796433872179,40.919857879999995
28.623481994454526,77.19968748685194,0.21518047694123563,-0.22346786248089787,41.13861115999998
28.623465393460254,77.20070973910187,0.2338655055631662,-0.23029425952681082,40.32170438000003
28.623448784765394,77.20173199048725,0.3516925892033821,-0.32728416135059335,39.65177246000002
28.62343216836997,77.20275424100768,0.11716981132053364,-0.1349434540921316,39.40567501999999
28.623415544273993,77.20377649066279,0.2494841106061711,-0.23697650663894387,39.576576020000005
28.623398912477498,77.20479873945214,0.3222869628544751,-0.3010839380089562,40.15422139999998
28.623382272980507,77.20582098737536,0.3697540384765488,-0.3485175417560161,40.51994954000003
28.62336562578304,77.20684323443204,0.22959233078293872,-0.23078414267668745,40.43791706000002
28.62334897088513,77.20786548062176,0.38199555023039194,-0.3664438615781937,39.96964832000003
28.623332308286784,77.20888772594415,0.23326780066632488,-0.24766516776159173,39.737222960000054
28.623315637988043,77.20990997039878,0.32639366827197797,-0.3139594341225261,39.378330860000005
28.62329895998893,77.21093221398529,0.30753497504653926,-0.3016777976864283,40.031172680000054
28.62328227428946,77.21195445670325,0.17441303306153264,-0.19347508521312534,41.27533196000002
28.62326558088966,77.21297669855225,0.22033545160908358,-0.21931924638238925,41.23773374000001
28.623248879789553,77.21399893953192,0.026638543863719024,-0.06258085381619893,41.55219158
28.623232170989173,77.21502117964184,0.227702191987476,-0.22504006787927777,40.48918736000002
28.623215454488534,77.21604341888161,0.1838572364109629,-0.19669011170840434,39.76456712000004
28.623198730287662,77.21706565725084,0.24042963370928042,-0.24637948528688058,40.014082580000036
28.62318199838658,77.21808789474912,0.1895453229073421,-0.20835478414325462,40.41399092000006
28.623165258785313,77.21911013137604,0.3071415458044664,-0.2843871200499966,40.96429214
28.623148511483894,77.22013236713123,0.17176870748266862,-0.18317115054343985,42.37935242000003
28.622596607595977,77.19864643262686,0.32353969919495706,-0.30404066511535444,40.882259660000045
28.622580014920583,77.19966867701666,0.23322050689303522,-0.2408007309573207,40.69426856000001
28.62256341454485,77.20069092054237,0.2713255907083073,-0.25486708172693967,40.20207368000001
28.622546806468822,77.20171316320356,0.32414988922006716,-0.28251539466265624,39.22110194000004
28.6225301906925,77.20273540499983,0.3153409090902692,-0.28343728343672225,39.395420960000024
28.622513567215936,77.20375764593079,0.23239027627937878,-0.24970553592419703,39.38174888000003
28.62249693603913,77.20477988599606,0.2142632241810229,-0.23014354066948942,39.48428948000003
28.62248029716211,77.2058021251952,0.2341766760367422,-0.24456661798772517,40.42082696
28.622463650584905,77.20682436352786,0.26588417887231375,-0.24952125622319127,40.34904854000001
28.622446996307538,77.20784660099356,0.3154467309189625,-0.3033379215411161,40.12345922000003
28.62243033433003,77.20886883759198,0.3414156486051638,-0.3268148694763826,40.38322874000005
28.62241366465241,77.20989107332268,0.25252140818220264,-0.24552937837024216,40.80022717999998
28.622396987274705,77.21091330818527,0.40527109770094016,-0.38124727431246186,40.769465000000025
28.622380302196934,77.21193554217935,-0.013584117032367086,-0.021243115656921236,40.59856400000001
28.622363609419118,77.2129577753045,0.43207473725100803,-0.3823032124734505,40.66350638000006
28.622346908941278,77.21398000756035,0.25081847944661545,-0.2602162360266443,40.59856400000001
28.62233020076345,77.21500223894648,0.19713976885308532,-0.19733887733854913,40.00382852000001
28.622313484885655,77.2160244694625,0.3968312795322953,-0.36298707169268063,39.62442829999998
28.622296761307915,77.21704669910801,0.3439048562928354,-0.3661939083928293,39.556067900000016
28.62228003003025,77.21806892788261,0.2898362360275716,-0.2777682403428708,39.80216533999999
28.62226329105269,77.21909115578588,0.27598183275398347,-0.26897529005354887,40.20549170000004
28.622246544375248,77.22011338281743,0.13717499388680876,-0.16636014044446354,40.936947980000014
28.621694627312355,77.19862763237954,0.2202486678504081,-0.2237263982895908,41.210389580000026
28.621678035255208,77.1996498680455,0.1745571658612326,-0.18891605541941497,40.82757134000002
28.621661435498012,77.20067210284738,0.30817870840611966,-0.28880718954189377,40.31486834000003
28.621644828040797,77.20169433678477,0.39935839434005205,-0.36785398407917047,39.40567501999999
28.62162821288359,77.20271656985729,0.17988952045443937,-0.20447858777344807,39.460363340000015
28.621611590026408,77.20373880206454,0.2726198514512616,-0.2690850938468663,39.03994688
28.621594959469277,77.2047610334061,0.3862646566157684,-0.35052219321091627,39.200593819999995
28.621578321212223,77.20578326388157,0.31322742332798703,-0.29910076476964603,40.21232773999998
28.62156167525527,77.20680549349058,0.25186877076359665,-0.24527522461996226,40.05509882000001
28.62154502159844,77.2078277222327,0.25728278307817737,-0.2570704938788399,40.13371328000005
28.62152836024176,77.20884995010753,0.39940442955444,-0.35160884414820853,40.588309940000045
28.621511691185255,77.20987217711469,0.44709131710608135,-0.4158081405161023,41.04974263999998
28.62149501442894,77.21089440325376,0.1289292968369689,-0.1634768740028639,40.97796421999999
28.62147832997286,77.21191662852436,0.24524802967038434,-0.24651939855161217,40.30119625999998
28.621461637817013,77.21293885292607,0.20587291399196747,-0.20587291399196747,40.478933299999994
28.62144493796143,77.2139610764585,0.33408919123141706,-0.3154462455742213,40.48918736000002
28.621428230406153,77.21498329912126,0.32423742069987965,-0.3096691018473405,39.58341206
28.621411515151188,77.21600552091391,0.35910934668100614,-0.3423116263205893,39.20401184000002
28.62139479219656,77.2170277418361,0.38429398917408736,-0.34087564385514924,39.32364254000004
28.6213780615423,77.2180499618874,0.06405410781765655,-0.07485180347618839,40.22599982000003
28.621361323188427,77.21907218106742,0.2757381932878722,-0.26785092302287034,40.63616222000002
28.62134457713497,77.22009439937575,0.2109226313608425,-0.221739856403036,40.71477668
28.620792646897343,77.19860883299592,0.20948548925569818,-0.22670834418646052,41.00530838000003
28.62077605545842,77.19963105993841,0.27655562539240014,-0.2688793440058276,40.97454620000002
28.620759456319746,77.20065328601687,0.21012951865414628,-0.20814435974098594,40.718194700000026
28.620742849481342,77.20167551123087,0.31728374564118,-0.3067610969277662,39.49796156000002
28.62072623494322,77.20269773558003,0.3024880708924634,-0.2944364467773826,39.94230416000005
28.620709612705415,77.20371995906393,0.44788108207839006,-0.40368779090511336,39.37491283999998
28.620692982767956,77.20474218168219,0.304671631685334,-0.3023570161353344,39.42276512000001
28.620676345130857,77.2057644034344,0.39009860312163086,-0.34239238246311765,40.42766300000005
28.620659699794146,77.20678662432017,0.26910553533754245,-0.2637802784660237,40.53703963999999
28.62064304675784,77.2078088443391,0.49864827071781737,-0.43792486583105916,42.574179560000005
28.62062638602198,77.20883106349076,-0.02033378093224567,-0.03015632879469459,42.33150014
28.62060971758657,77.20985328177478,0.26506696428522125,-0.24937999448838177,40.55412974000001
28.620593041451652,77.21087549919073,0.4623728813548873,-0.40628056068584967,39.92521406000003
28.62057635761724,77.21189771573826,0.05113254092840196,-0.08489092066421515,39.95939426000001
28.620559666083356,77.21291993141692,0.3158457203918861,-0.2845220030343617,39.77482118
28.62054296685002,77.21394214622634,0.18626655852899654,-0.1991255237744596,39.95597624000004
28.620526259917273,77.2149643601661,0.33014089695122917,-0.3084518525223146,39.084381140000005
28.62050954528513,77.21598657323582,0.40779358487159534,-0.3716745587595839,38.575096160000044
28.62049282295361,77.21700878543508,0.48122743682223607,-0.43311212015292855,39.754313060000015
